sample_id,gas_ppm,temperature,pressure,humidity,wind_speed,wind_direction,vibration,air_quality,flow_rate,hour_of_day,hazard_level
1,154.9,32.3,5.26,64.2,7.3,20.9,2.77,79.2,140.2,23,LOW
2,351.0,66.7,7.04,65.5,4.9,183.0,13.45,156.7,78.6,23,HIGH
3,342.9,65.0,5.79,67.6,21.0,247.4,12.18,214.3,77.3,8,HIGH
4,350.0,81.5,7.73,67.6,12.9,138.5,9.4,209.8,81.6,16,HIGH
5,265.6,39.9,6.86,84.2,16.8,197.5,8.26,104.8,73.3,5,MODERATE
6,163.2,30.3,4.46,45.0,4.6,288.8,3.13,64.8,134.2,16,LOW
7,431.5,81.3,6.83,69.8,19.7,184.0,9.56,203.5,68.4,3,HIGH
8,104.1,37.1,5.54,51.4,11.0,43.1,3.97,86.9,147.4,20,LOW
9,150.1,49.9,4.63,48.8,7.8,38.8,3.09,70.5,126.4,9,LOW
10,80.4,31.9,5.14,63.8,6.4,82.4,2.79,68.6,132.5,20,LOW
11,174.7,34.3,5.13,63.0,8.5,322.6,2.3,70.1,119.1,16,LOW
12,191.5,52.4,6.36,62.0,11.1,66.8,5.66,121.4,89.0,19,MODERATE
13,135.2,35.0,5.75,53.4,8.8,346.5,2.93,74.7,99.9,6,LOW
14,467.1,86.0,9.07,79.8,21.4,135.1,17.96,312.2,59.3,4,CRITICAL
15,233.1,52.7,6.2,68.1,7.4,118.0,8.05,110.0,132.7,11,MODERATE
16,182.2,40.0,4.65,52.6,6.5,67.1,3.92,76.5,117.4,5,LOW
17,302.5,72.7,6.65,75.3,13.4,207.0,8.65,198.7,97.2,17,HIGH
18,103.1,34.1,5.52,39.1,8.6,33.5,1.56,92.9,144.5,16,LOW
19,215.3,54.9,6.93,63.8,15.4,194.0,4.07,156.2,131.5,0,MODERATE
20,162.0,28.2,4.7,43.0,10.3,305.7,4.27,87.3,153.5,19,LOW
21,367.7,64.5,6.79,66.3,17.6,158.6,11.83,239.0,85.2,10,HIGH
22,452.7,69.4,9.68,76.4,13.7,102.2,12.45,202.2,95.7,15,HIGH
23,268.9,49.4,5.69,49.9,10.2,248.5,6.93,98.9,108.5,0,MODERATE
24,399.3,63.2,7.62,72.4,12.3,159.3,12.68,247.9,100.8,3,HIGH
25,311.1,62.6,7.91,75.6,20.6,299.1,12.71,249.7,99.3,11,HIGH
26,536.1,90.1,9.53,78.1,23.1,125.3,17.16,389.4,46.3,9,CRITICAL
27,160.6,24.9,4.81,60.7,8.2,277.2,1.92,83.2,105.9,7,LOW
28,211.7,42.2,5.55,58.6,8.0,116.3,3.44,65.1,137.8,1,LOW
